[DEBUG] 2019-10-15 18:56:15.714 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@314c8b4a
[DEBUG] 2019-10-15 18:56:15.714 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@314c8b4a
[DEBUG] 2019-10-15 18:56:15.715 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@5cbd159f
[DEBUG] 2019-10-15 18:56:15.716 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@67440de6
[DEBUG] 2019-10-15 18:56:15.716 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@67440de6
[DEBUG] 2019-10-15 18:56:15.716 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@67440de6
[DEBUG] 2019-10-15 18:56:15.717 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@7ce7e83c
[DEBUG] 2019-10-15 18:56:15.717 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@7ce7e83c
[DEBUG] 2019-10-15 18:56:15.717 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@7ce7e83c
[DEBUG] 2019-10-15 18:56:15.718 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@1ab6718
[DEBUG] 2019-10-15 18:56:15.719 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@6fd77352
[DEBUG] 2019-10-15 18:56:15.719 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6c65860d
[DEBUG] 2019-10-15 18:56:15.719 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6c65860d
[DEBUG] 2019-10-15 18:56:15.719 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6c65860d
[DEBUG] 2019-10-15 18:56:15.720 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@33f98231
[DEBUG] 2019-10-15 18:56:15.720 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@33f98231
